"estacao","latitude_inicial","latitude_final","longitude_inicial","longitude_final"
"DRK1","-58.855","-58.8919","-63.0735","-63.0313"
"DRK2","-59.2485","-59.3358","-62.6451","-62.5388"
"DRK3","-59.6556","-59.6957","-62.1993","-62.1568"
"DRK4","-60.0713","-60.1048","-61.7465","-61.7094"
"DRK5","-60.4835","-60.5199","-61.2936","-61.2486"
"DRK6","-60.8872","-60.9257","-60.8501","-60.8079"
"DRK7","-61.2961","-61.3072","-60.4126","-60.4865"
"DRK8","-61.7544","-61.797","-59.9152","-59.8518"
"DRK9","-62.1609","-62.1971","-59.4738","-59.4040"
