Station,Latitude,Longitude
OP41_01,36.6698,48.6265
OP41_02,37.2736,48.6293
OP41_03,37.7345,48.6295
OP41_04,38.6528,48.9789
OP41_05,42.2084,53.4511
OP41_06,42.1842,52.9461
OP41_07,42.5033,52.6142
OP41_08,42.8188,52.2469
OP41_09,43.3622,52.0138
OP41_010,43.6819,51.9210
OP41_011,44.0298,51.8663
OP41_012,44.3886,51.8585
MAX007 ,36.6690,48.6265
MAX008 ,43.9034,54.8041
MAX009 ,45.8718,58492
CTD15,62.147,58.4085
CTD16,62.164,58.373
CTD17,62.2221,58.2015
CTD18,62.1858,58.0543
CTD19,62.9246,60.1413
CTD20,62.7,58.89716
CTD21,62.3605,57.9443
CTD22,59.75616,62.0563
CTD23,58.88066,63.04716
IRH13,62.3631,58.5458
IRH14,62.3781,58.4753
IRH15,62.2967,58.2717
IRH16,62.2186,58.2522
IRH17,62.3158,58.4950
IRH18,62.4131,58.6689
MAX010 ,53.45805,70.8372
MAX011 ,62.083583,58.3674
MAX012 ,62.94105,60.6497
MAX013 ,62.101766,58.4171
DRK1 ,60.77001,60.5649
DRK2 ,61.13386,59.25473
DRK3 ,61.64725,57.3506
DRK4 ,59.770833,62.0683
DRK5 ,59.546033,62.28
DRK6 ,59.390166,62.4456
DRK7 ,59.2059,62.64001
DRK8 ,59.02933,62.8703
